3.4,-5.6;4.9,-6.2;6.2,-6.9
-32.1,-22.8;-32.5,-22.3;-34.1,-23.6;-35.1,-25.1
-35.7,-25.9;-36.2,-27.6;-36.1,-29.2;-35.5,-30.9
-37.0,-26.9;-36.1,-27.9
-36.8,-26.2;-37.5,-26.9;-38.7,-27.4
-35.7,-22.2;-35.2,-23.2;-34.2,-23.8
-34.3,-22.8;-36.3,-21.8;-37.8,-22.6;-39.2,-24.2;-40.5,-25.6;-42.1,-25.8;-43.0,-25.7;-43.5,-27.2;-42.7,-28.6;-39.8,-28.4
-36.0,-21.9;-37.3,-20.7;-39.1,-20.4
-33.7,-21.8;-34.6,-20.3;-35.8,-18.9;-37.3,-18.2
-33.0,-24.4;-33.4,-25.5;-32.9,-26.6
-28.6,-26.1;-27.7,-27.0;-26.7,-27.6
-26.4,-26.1;-27.0,-26.7
-23.7,-26.8;-22.3,-27.3;-21.4,-28.6
-19.7,-28.0;-20.8,-28.4;-21.8,-28.9
-23.2,-26.8;-24.0,-26.2;-25.2,-26.7
-23.8,-25.6;-25.1,-25.8;-26.5,-26.1;-27.9,-25.6
-28.2,-23.3;-29.0,-24.1;-29.8,-25.0
-24.3,-21.8;-25.2,-23.5;-27.0,-23.9
-19.8,-32.5;-19.2,-33.8;-18.5,-33.4
-11.0,-15.8;-12.4,-16.8;-13.5,-18.5
-15.1,-12.8;-16.2,-13.6;-16.5,-15.2
-17.0,-12.6;-18.1,-13.7;-18.3,-15.4
-18.5,-13.0;-19.0,-14.5
-20.4,-13.4;-20.9,-14.8
-17.6,-11.8;-18.8,-12.6;-19.8,-13.7
-22.7,-10.2;-22.9,-12.3;-22.8,-14.3;-21.9,-15.6;-19.9,-15.4
-15.6,-11.8;-16.7,-13.2;-17.2,-14.9
-14.8,-10.8;-14.7,-12.6;-14.4,-14.6;-14.0,-16.6;-13.6,-18.7;-13.4,-20.7;-13.3,-22.6;-13.4,-24.5;-13.9,-26.2;-14.8,-27.7;-16.2,-29.1;-18.1,-30.1
-9.2,-13.7;-10.5,-14.3;-11.7,-14.9;-12.9,-15.8
-9.2,-10.7;-10.8,-10.8;-12.4,-10.6;-14.0,-10.3;-15.5,-10.4;-16.9,-11.2
-23.0,-9.5;-23.8,-8.5;-25.7,-8.1;-27.4,-7.6
-28.3,-7.0;-27.3,-8.1
-28.9,-7.1;-29.7,-7.3;-29.2,-8.3
-30.6,-7.8;-30.1,-8.5
-30.2,-7.1;-31.0,-8.9;-30.0,-10.2;-28.1,-10.8;-26.3,-10.7;-25.8,-11.9;-26.6,-13.9;-27.8,-16.8;-27.6,-18.7;-26.4,-20.0;-24.7,-20.8;-22.9,-21.4;-21.3,-22.0;-20.3,-22.9;-20.4,-24.3
-7.0,-6.6;-6.3,-7.2
-6.2,-6.3;-5.5,-7.7
-5.0,-7.9;-6.2,-9.0;-6.1,-10.6;-5.6,-12.3;-6.1,-13.7;-8.5,-14.2
-5.3,-5.7;-5.4,-6.7
-4.2,-6.0;-4.9,-4.4;-6.7,-4.7;-8.3,-5.7;-8.4,-7.4;-8.2,-9.3;-8.6,-11.2
4.2,-7.4;2.0,-9.2
4.3,-7.0;2.5,-6.9;0.7,-6.7
7.7,-4.9;8.2,-6.4
14.6,-8.3;12.8,-7.7;11.0,-6.8;9.3,-5.7;7.6,-4.7;5.9,-3.8
14.2,0.0;15.7,-1.1;16.8,-2.6;17.7,-4.0
17.5,-5.4;17.5,-6.9
16.1,-6.3;14.8,-6.8;13.6,-7.5
14.9,-7.0;15.2,-8.2
18.8,-4.9;18.8,-6.1
19.1,-4.8;17.5,-5.0;16.3,-5.8;16.1,-7.6
20.9,-6.6;19.7,-7.8;17.9,-8.4;16.2,-8.9
21.3,-8.8;21.7,-10.2;20.7,-10.1
21.4,-10.6;20.9,-11.9
21.9,-10.2;22.9,-11.0
24.9,-9.1;24.2,-10.9;23.3,-12.7;22.4,-14.4;21.4,-16.1;20.6,-17.8;20.0,-19.4
21.4,-19.8;20.6,-21.2;20.0,-22.8
21.2,-26.1;22.3,-27.3;23.7,-28.0;25.3,-28.4;26.8,-28.8
26.1,-30.2;24.9,-31.0;23.6,-32.3;22.3,-33.9;21.3,-35.7;20.9,-37.4;21.2,-38.7;22.4,-39.6;24.1,-39.5;25.7,-39.0;27.2,-38.8;28.4,-39.8
28.2,-37.6;26.0,-37.8
25.8,-38.3;23.2,-38.3
28.3,-37.2;26.7,-36.9;24.9,-37.2;23.2,-37.2;23.2,-37.2;24.4,-36.1;25.9,-35.3;27.6,-34.4;29.0,-33.4;29.8,-31.8
29.4,-29.4;28.1,-29.8
26.8,-26.8;28.1,-26.5;29.2,-27.7;29.8,-29.5;30.0,-31.1;27.8,-31.5
28.2,-26.2;27.7,-24.6;26.6,-23.3;25.2,-22.7
24.6,-21.9;24.9,-23.3;23.7,-24.3
27.1,-24.2;26.1,-25.4;24.9,-26.2
24.0,-19.2;23.0,-20.6;21.0,-24.4;19.8,-25.6;18.6,-25.8;17.2,-24.4
15.2,-19.2;14.0,-20.4;12.4,-21.9;10.8,-23.5;9.7,-25.2;9.5,-26.8;10.7,-28.2
26.9,-14.9;26.5,-15.5
26.0,-11.7;25.2,-13.2;22.8,-17.7
23.9,-5.9;23.4,-7.6;22.2,-8.2
21.8,-2.7;22.8,-1.7;21.8,-0.5
19.3,-0.8;17.6,-0.3;15.8,-0.1;14.1,0.2;12.4,0.7
16.9,3.4;15.3,2.8;13.7,2.1;12.2,1.1
17.5,6.3;19.1,3.5;19.7,2.0;20.1,0.4;20.2,-1.2
21.6,5.5;21.2,7.7;20.4,8.2;18.6,7.1
16.3,7.9;17.1,6.9
16.2,9.8;17.4,9.4;18.3,8.8
21.2,6.9;20.3,6.1
22.3,6.1;23.4,4.5;24.3,2.9;25.0,1.1;25.5,-0.7;25.7,-2.5;25.7,-4.4;25.5,-6.3;25.0,-8.1
29.4,-1.4;29.5,-3.3;29.5,-5.2;29.4,-7.1;29.1,-9.0;28.8,-10.8;28.3,-12.5;27.7,-14.3;27.1,-15.9;26.3,-17.6;25.4,-19.1;24.4,-20.6;23.3,-22.1
30.5,-39.1;29.2,-38.1;27.8,-37.7
31.8,1.6;31.4,3.2;30.0,2.8
30.2,1.8;29.1,2.8
27.8,2.1;28.2,0.3;29.2,-1.2
33.1,2.6;32.8,1.7
33.6,2.9;33.4,4.7;32.2,5.4;30.9,5.9;29.4,6.1;28.1,6.2
26.4,5.2;25.0,6.4;23.4,7.7;21.8,8.8;20.0,9.7;18.3,10.3;16.5,10.5;14.7,10.2
13.7,10.0;14.7,8.5;15.8,6.9;16.9,5.4;17.7,3.7;18.3,1.9;18.4,-0.1
23.8,5.3;24.7,3.7;25.5,2.0;26.0,0.2;26.4,-1.6;26.6,-3.4;26.5,-5.4;26.3,-7.3;25.8,-9.2
26.2,3.9;26.8,3.8
26.7,4.8;27.1,3.5;27.8,2.3
34.5,2.6;33.1,2.9;31.8,2.9
30.4,9.6;31.1,9.2
31.2,11.9;32.0,10.0;33.0,8.0;34.1,6.2;35.0,4.5;35.6,2.9;35.5,1.7;34.7,0.7;32.9,0.1;29.8,-0.1
23.8,8.1;23.4,10.0;22.5,10.3;20.9,9.7
26.3,11.2;28.0,10.3;29.8,9.2
26.8,14.0;27.8,12.3;29.1,10.9;29.8,9.2;29.8,9.2;30.7,8.1;31.2,8.8
